,action_name
230,result
231,simpleIdentifier##result
232,Int
233,simpleIdentifier##Int
234,getAnnotation
235,simpleIdentifier##getAnnotation
236,simpleIdentifier##class
237,?
238,safeNav##?##.
239,memberAccessOperator##safeNav
240,elvis##?##:
241,"functionBody##=##
##expression"
242,"kotlinFile##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##<EOF>"
243,"semi##
"
244,x
245,simpleIdentifier##x
246,A
247,simpleIdentifier##A
248,literalConstant##1
249,primaryExpression##literalConstant
250,parameter##simpleIdentifier##:##type
251,functionValueParameter##parameter
252,y
253,simpleIdentifier##y
254,literalConstant##2
255,functionValueParameter##parameter##=##expression
256,z
257,simpleIdentifier##z
258,"functionValueParameters##(##functionValueParameter##,##functionValueParameter##,##functionValueParameter##)"
259,statements
260,block##{##statements##}
261,functionDeclaration##modifiers##fun##simpleIdentifier##functionValueParameters##functionBody
262,constructor
263,classMemberDeclaration##secondaryConstructor
264,classMemberDeclarations##classMemberDeclaration##semis##classMemberDeclaration
265,classDeclaration##class##simpleIdentifier##classBody
266,B
267,simpleIdentifier##B
268,classParameter##simpleIdentifier##:##type
269,classParameter##simpleIdentifier##:##type##=##expression
270,"classParameters##(##classParameter##,##classParameter##,##classParameter##)"
271,primaryConstructor##modifiers##constructor##classParameters
272,classDeclaration##class##simpleIdentifier##primaryConstructor##classBody
273,Array
274,simpleIdentifier##Array
275,<
276,out
277,varianceModifier##out
278,typeProjectionModifier##varianceModifier
279,typeProjectionModifiers##typeProjectionModifier
280,Annotation
281,simpleIdentifier##Annotation
282,typeProjection##typeProjectionModifiers##type
283,>
284,typeArguments##<##typeProjection##>
285,simpleUserType##simpleIdentifier##typeArguments
286,"functionValueParameters##(##functionValueParameter##,##functionValueParameter##)"
287,filterIsInstance
288,simpleIdentifier##filterIsInstance
289,typeProjection##type
290,postfixUnarySuffix##typeArguments
291,postfixUnaryExpression##primaryExpression##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix
292,$name
293,lineStringContent##$name
294,"lineStringLiteral##""##lineStringContent##lineStringContent##"""
295,"valueArguments##(##valueArgument##,##valueArgument##,##valueArgument##)"
296,statements##statement##semis
297,0
298,literalConstant##0
299,simpleIdentifier##size
300,postfixUnaryExpression##primaryExpression##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix
301,getDeclaredMethods
302,simpleIdentifier##getDeclaredMethods
303,first
304,simpleIdentifier##first
305,getName
306,simpleIdentifier##getName
307,lineStringContent##foo
308,"valueArguments##(##valueArgument##,##valueArgument##)"
309,\$
310,lineStringContent##\$
311,default
312,lineStringContent##default
313,"lineStringLiteral##""##lineStringContent##lineStringContent##lineStringContent##"""
314,"multiVariableDeclaration##(##variableDeclaration##,##variableDeclaration##)"
315,3
316,literalConstant##3
317,"propertyDeclaration##val##multiVariableDeclaration##=##expression##
"
318,[
319,]
320,indexingSuffix##[##expression##]
321,postfixUnarySuffix##indexingSuffix
